"game_pk","season","official_date","weekday","has_abs_challenges","n_mj_event","n_mj_play","max_remaining"
752338,2024,"2024-03-31","Sunday","TRUE",1,0,3
752412,2024,"2024-03-31","Sunday","TRUE",4,1,3
752640,2024,"2024-03-31","Sunday","TRUE",7,1,3
752715,2024,"2024-03-31","Sunday","TRUE",6,2,3
752865,2024,"2024-03-31","Sunday","TRUE",5,4,3
752938,2024,"2024-03-31","Sunday","TRUE",3,4,4
753015,2024,"2024-03-31","Sunday","TRUE",4,4,5
753091,2024,"2024-03-31","Sunday","TRUE",5,0,3
753613,2024,"2024-03-31","Sunday","TRUE",8,3,3
751516,2024,"2024-04-02","Tuesday","FALSE",0,0,
751591,2024,"2024-04-02","Tuesday","FALSE",0,0,
751817,2024,"2024-04-02","Tuesday","FALSE",0,0,
751892,2024,"2024-04-02","Tuesday","FALSE",0,0,
752042,2024,"2024-04-02","Tuesday","FALSE",0,0,
752192,2024,"2024-04-02","Tuesday","FALSE",0,0,
752792,2024,"2024-04-02","Tuesday","FALSE",0,0,
753166,2024,"2024-04-02","Tuesday","FALSE",0,0,
753242,2024,"2024-04-02","Tuesday","FALSE",0,0,
753318,2024,"2024-04-02","Tuesday","FALSE",0,0,
753392,2024,"2024-04-02","Tuesday","FALSE",0,0,
753542,2024,"2024-04-02","Tuesday","FALSE",0,0,
751518,2024,"2024-04-03","Wednesday","FALSE",0,0,
751592,2024,"2024-04-03","Wednesday","FALSE",0,0,
751816,2024,"2024-04-03","Wednesday","FALSE",0,0,
751891,2024,"2024-04-03","Wednesday","FALSE",0,0,
752041,2024,"2024-04-03","Wednesday","FALSE",0,0,
752790,2024,"2024-04-03","Wednesday","FALSE",0,0,
753168,2024,"2024-04-03","Wednesday","FALSE",0,0,
753317,2024,"2024-04-03","Wednesday","FALSE",0,0,
753388,2024,"2024-04-03","Wednesday","FALSE",0,0,
753465,2024,"2024-04-03","Wednesday","FALSE",0,0,
753540,2024,"2024-04-03","Wednesday","FALSE",0,0,
751512,2024,"2024-04-04","Thursday","FALSE",0,0,
751590,2024,"2024-04-04","Thursday","FALSE",0,0,
751815,2024,"2024-04-04","Thursday","FALSE",0,0,
751890,2024,"2024-04-04","Thursday","FALSE",0,0,
752038,2024,"2024-04-04","Thursday","FALSE",0,0,
752490,2024,"2024-04-04","Thursday","FALSE",0,0,
752791,2024,"2024-04-04","Thursday","FALSE",0,0,
753163,2024,"2024-04-04","Thursday","FALSE",0,0,
753240,2024,"2024-04-04","Thursday","FALSE",0,0,
753315,2024,"2024-04-04","Thursday","FALSE",0,0,
753389,2024,"2024-04-04","Thursday","FALSE",0,0,
753466,2024,"2024-04-04","Thursday","FALSE",0,0,
753469,2024,"2024-04-04","Thursday","FALSE",0,0,
753541,2024,"2024-04-04","Thursday","FALSE",0,0,
751514,2024,"2024-04-05","Friday","TRUE",4,2,3
751589,2024,"2024-04-05","Friday","TRUE",5,2,3
751813,2024,"2024-04-05","Friday","TRUE",4,0,3
751885,2024,"2024-04-05","Friday","TRUE",4,1,3
752040,2024,"2024-04-05","Friday","TRUE",1,0,3
752189,2024,"2024-04-05","Friday","TRUE",3,10,3
752194,2024,"2024-04-05","Friday","TRUE",4,2,3
752489,2024,"2024-04-05","Friday","TRUE",4,1,3
752788,2024,"2024-04-05","Friday","TRUE",4,2,3
753167,2024,"2024-04-05","Friday","TRUE",1,3,3
753239,2024,"2024-04-05","Friday","TRUE",2,1,3
753314,2024,"2024-04-05","Friday","TRUE",1,1,3
753390,2024,"2024-04-05","Friday","TRUE",5,0,3
753463,2024,"2024-04-05","Friday","TRUE",7,2,3
753537,2024,"2024-04-05","Friday","TRUE",11,1,3
751513,2024,"2024-04-06","Saturday","TRUE",3,0,3
751812,2024,"2024-04-06","Saturday","TRUE",2,2,3
751887,2024,"2024-04-06","Saturday","TRUE",5,1,3
752039,2024,"2024-04-06","Saturday","TRUE",4,2,3
752187,2024,"2024-04-06","Saturday","TRUE",4,2,3
752488,2024,"2024-04-06","Saturday","TRUE",5,3,3
752491,2024,"2024-04-06","Saturday","TRUE",6,4,3
752563,2024,"2024-04-06","Saturday","TRUE",3,1,3
752786,2024,"2024-04-06","Saturday","TRUE",1,2,3
753165,2024,"2024-04-06","Saturday","TRUE",6,6,4
753237,2024,"2024-04-06","Saturday","TRUE",5,1,3
753244,2024,"2024-04-06","Saturday","TRUE",2,0,3
753313,2024,"2024-04-06","Saturday","TRUE",1,3,3
753391,2024,"2024-04-06","Saturday","TRUE",2,0,3
753460,2024,"2024-04-06","Saturday","TRUE",7,2,3
753538,2024,"2024-04-06","Saturday","TRUE",5,2,4
751511,2024,"2024-04-07","Sunday","TRUE",5,9,3
751586,2024,"2024-04-07","Sunday","TRUE",1,0,3
751588,2024,"2024-04-07","Sunday","TRUE",5,0,3
751814,2024,"2024-04-07","Sunday","TRUE",3,2,3
751889,2024,"2024-04-07","Sunday","TRUE",4,3,3
752037,2024,"2024-04-07","Sunday","TRUE",4,1,3
752190,2024,"2024-04-07","Sunday","TRUE",6,4,3
752484,2024,"2024-04-07","Sunday","TRUE",1,2,3
752561,2024,"2024-04-07","Sunday","TRUE",5,1,3
752565,2024,"2024-04-07","Sunday","TRUE",4,1,3
752789,2024,"2024-04-07","Sunday","TRUE",2,2,3
753159,2024,"2024-04-07","Sunday","TRUE",5,2,3
753236,2024,"2024-04-07","Sunday","TRUE",6,2,3
753310,2024,"2024-04-07","Sunday","TRUE",9,0,3
753384,2024,"2024-04-07","Sunday","TRUE",4,3,3
753462,2024,"2024-04-07","Sunday","TRUE",4,1,3
753539,2024,"2024-04-07","Sunday","TRUE",4,1,3
752339,2024,"2024-04-08","Monday","FALSE",0,0,
751438,2024,"2024-04-09","Tuesday","FALSE",0,0,
751664,2024,"2024-04-09","Tuesday","FALSE",0,0,
751964,2024,"2024-04-09","Tuesday","FALSE",0,0,
752113,2024,"2024-04-09","Tuesday","FALSE",0,0,
752268,2024,"2024-04-09","Tuesday","FALSE",0,0,
752414,2024,"2024-04-09","Tuesday","FALSE",0,0,
752641,2024,"2024-04-09","Tuesday","FALSE",0,0,
752716,2024,"2024-04-09","Tuesday","FALSE",0,0,
752862,2024,"2024-04-09","Tuesday","FALSE",0,0,
752940,2024,"2024-04-09","Tuesday","FALSE",0,0,
753014,2024,"2024-04-09","Tuesday","FALSE",0,0,
753088,2024,"2024-04-09","Tuesday","FALSE",0,0,
753615,2024,"2024-04-09","Tuesday","FALSE",0,0,
751439,2024,"2024-04-10","Wednesday","FALSE",0,0,
751662,2024,"2024-04-10","Wednesday","FALSE",0,0,
751735,2024,"2024-04-10","Wednesday","FALSE",0,0,
751743,2024,"2024-04-10","Wednesday","FALSE",0,0,
751963,2024,"2024-04-10","Wednesday","FALSE",0,0,
752115,2024,"2024-04-10","Wednesday","FALSE",0,0,
752260,2024,"2024-04-10","Wednesday","FALSE",0,0,
752341,2024,"2024-04-10","Wednesday","FALSE",0,0,
752415,2024,"2024-04-10","Wednesday","FALSE",0,0,
752642,2024,"2024-04-10","Wednesday","FALSE",0,0,
752713,2024,"2024-04-10","Wednesday","FALSE",0,0,
752941,2024,"2024-04-10","Wednesday","FALSE",0,0,
753011,2024,"2024-04-10","Wednesday","FALSE",0,0,
753089,2024,"2024-04-10","Wednesday","FALSE",0,0,
753614,2024,"2024-04-10","Wednesday","FALSE",0,0,
751436,2024,"2024-04-11","Thursday","FALSE",0,0,
751665,2024,"2024-04-11","Thursday","FALSE",0,0,
751734,2024,"2024-04-11","Thursday","FALSE",0,0,
751965,2024,"2024-04-11","Thursday","FALSE",0,0,
752112,2024,"2024-04-11","Thursday","FALSE",0,0,
752336,2024,"2024-04-11","Thursday","FALSE",0,0,
752413,2024,"2024-04-11","Thursday","FALSE",0,0,
752638,2024,"2024-04-11","Thursday","FALSE",0,0,
752714,2024,"2024-04-11","Thursday","FALSE",0,0,
752864,2024,"2024-04-11","Thursday","FALSE",0,0,
753013,2024,"2024-04-11","Thursday","FALSE",0,0,
753090,2024,"2024-04-11","Thursday","FALSE",0,0,
753609,2024,"2024-04-11","Thursday","FALSE",0,0,
751437,2024,"2024-04-12","Friday","TRUE",5,0,3
751660,2024,"2024-04-12","Friday","TRUE",3,0,3
751736,2024,"2024-04-12","Friday","TRUE",5,2,3
751962,2024,"2024-04-12","Friday","TRUE",5,2,3
752108,2024,"2024-04-12","Friday","TRUE",5,4,4
752259,2024,"2024-04-12","Friday","TRUE",5,5,3
752337,2024,"2024-04-12","Friday","TRUE",3,0,3
752411,2024,"2024-04-12","Friday","TRUE",1,0,3
752632,2024,"2024-04-12","Friday","TRUE",3,4,3
752707,2024,"2024-04-12","Friday","TRUE",5,6,3
752861,2024,"2024-04-12","Friday","TRUE",2,0,3
752863,2024,"2024-04-12","Friday","TRUE",4,2,3
752936,2024,"2024-04-12","Friday","TRUE",9,1,3
752937,2024,"2024-04-12","Friday","TRUE",3,3,3
753012,2024,"2024-04-12","Friday","TRUE",0,1,3
753086,2024,"2024-04-12","Friday","TRUE",2,2,3
751433,2024,"2024-04-13","Saturday","TRUE",3,1,3
751659,2024,"2024-04-13","Saturday","TRUE",7,1,3
751738,2024,"2024-04-13","Saturday","TRUE",4,4,4
751959,2024,"2024-04-13","Saturday","TRUE",3,1,3
752109,2024,"2024-04-13","Saturday","TRUE",5,1,3
752262,2024,"2024-04-13","Saturday","TRUE",3,0,3
752263,2024,"2024-04-13","Saturday","TRUE",0,0,3
